,name,year,category,simplified_outcome
1,steven spielberg,2016,Oscar,Nominated
2,steven spielberg,2013,Oscar,Nominated
3,steven spielberg,2012,Oscar,Nominated
4,steven spielberg,2007,Oscar,Nominated
5,steven spielberg,2006,Oscar,Nominated
6,steven spielberg,1999,Oscar,Won
7,steven spielberg,1999,Oscar,Nominated
8,steven spielberg,1994,Oscar,Won
9,steven spielberg,1987,Irving G. Thalberg Memorial Award,Won
10,steven spielberg,1986,Oscar,Nominated
11,steven spielberg,1983,Oscar,Nominated
12,steven spielberg,1982,Oscar,Nominated
13,steven spielberg,1978,Oscar,Nominated
14,steven spielberg,2013,Golden Globe,Nominated
15,steven spielberg,2008,Cecil B. DeMille Award,Won
16,steven spielberg,2006,Golden Globe,Nominated
17,steven spielberg,2002,Golden Globe,Nominated
18,steven spielberg,1999,Golden Globe,Won
19,steven spielberg,1998,Golden Globe,Nominated
20,steven spielberg,1994,Golden Globe,Won
21,steven spielberg,1986,Golden Globe,Nominated
22,steven spielberg,1983,Golden Globe,Nominated
23,steven spielberg,1982,Golden Globe,Nominated
24,steven spielberg,1978,Golden Globe,Nominated
25,steven spielberg,1976,Golden Globe,Nominated
26,steven spielberg,2016,Primetime Emmy,Nominated
27,steven spielberg,2010,Primetime Emmy,Won
28,steven spielberg,2006,Primetime Emmy,Nominated
29,steven spielberg,2003,Primetime Emmy,Won
30,steven spielberg,2002,Primetime Emmy,Won
31,steven spielberg,2002,Primetime Emmy,Nominated
32,steven spielberg,1996,Primetime Emmy,Won
33,steven spielberg,1995,Primetime Emmy,Nominated
34,steven spielberg,1991,Primetime Emmy,Nominated
35,steven spielberg,1986,Primetime Emmy,Nominated
36,steven spielberg,2016,David Lean Award for Direction,Nominated
37,steven spielberg,2016,BAFTA Film Award,Nominated
38,steven spielberg,2016,BAFTA Children's Award,Nominated
39,steven spielberg,2013,BAFTA Film Award,Nominated
40,steven spielberg,2012,BAFTA Film Award,Nominated
41,steven spielberg,2009,BAFTA Games Award,Won
42,steven spielberg,1999,BAFTA Film Award,Nominated
43,steven spielberg,1999,David Lean Award for Direction,Nominated
44,steven spielberg,1994,David Lean Award for Direction,Won
45,steven spielberg,1994,BAFTA Film Award,Won
46,steven spielberg,1986,Academy Fellowship,Won
47,steven spielberg,1983,BAFTA Film Award,Nominated
48,steven spielberg,1979,BAFTA Film Award,Nominated
49,steven spielberg,1976,BAFTA Film Award,Nominated
50,steven spielberg,2013,AACTA International Award,Nominated
51,steven spielberg,2013,Movies for Grownups Award,Won
52,steven spielberg,2006,Movies for Grownups Award,Won
53,steven spielberg,2003,Movies for Grownups Award,Nominated
54,steven spielberg,2017,Saturn Award,Nominated
55,steven spielberg,2012,Saturn Award,Nominated
56,steven spielberg,2009,Saturn Award,Nominated
57,steven spielberg,2006,Saturn Award,Nominated
58,steven spielberg,2003,Saturn Award,Won
59,steven spielberg,2002,Saturn Award,Won
60,steven spielberg,2002,Saturn Award,Nominated
61,steven spielberg,1998,Saturn Award,Nominated
62,steven spielberg,1994,Saturn Award,Won
63,steven spielberg,1994,President's Award,Won
64,steven spielberg,1985,Saturn Award,Nominated
65,steven spielberg,1983,Saturn Award,Nominated
66,steven spielberg,1982,Saturn Award,Won
67,steven spielberg,1978,Saturn Award,Won
68,steven spielberg,1978,Saturn Award,Nominated
69,steven spielberg,2013,EDA Award,Nominated
70,steven spielberg,2012,EDA Award,Nominated
71,steven spielberg,1999,Amanda,Nominated
72,steven spielberg,1994,Amanda,Won
73,steven spielberg,2013,Golden Eddie Filmmaker of the Year Award,Won
74,steven spielberg,1990,Golden Eddie Filmmaker of the Year Award,Won
75,steven spielberg,1989,American Cinematheque Award,Won
76,steven spielberg,1995,Life Achievement Award,Won
77,steven spielberg,1982,Marquee,Won
78,steven spielberg,1994,Board of the Governors Award,Won
79,steven spielberg,2014,Winsor McCay Award,Won
80,steven spielberg,2006,Contribution to Cinematic Imagery Award,Won
81,steven spielberg,1968,Jury Award,Won
82,steven spielberg,1994,AFI Award,Nominated
83,steven spielberg,1994,Best Foreign Film Award,Nominated
84,steven spielberg,1973,Grand Prize,Won
85,steven spielberg,2012,ACCA,Nominated
86,steven spielberg,2005,ACCA,Nominated
87,steven spielberg,1998,ACCA,Won
88,steven spielberg,1998,ACCA,Nominated
89,steven spielberg,1993,ACCA,Won
90,steven spielberg,1993,ACCA,Nominated
91,steven spielberg,1993,ACCA,Nominated
92,steven spielberg,2001,Britannia Award,Won
93,steven spielberg,1994,Blue Ribbon Award,Won
94,steven spielberg,1987,Blue Ribbon Award,Won
95,steven spielberg,1983,Blue Ribbon Award,Won
96,steven spielberg,2005,BSFC Award,Nominated
97,steven spielberg,1993,BSFC Award,Won
98,steven spielberg,1983,BSFC Award,Won
99,steven spielberg,1982,BSFC Award,Won
100,steven spielberg,2016,Critics Choice Award,Nominated
101,steven spielberg,2013,Critics Choice Award,Nominated
102,steven spielberg,2012,Critics Choice Award,Nominated
103,steven spielberg,2006,Critics Choice Award,Nominated
104,steven spielberg,2003,Critics Choice Award,Won
105,steven spielberg,1999,Critics Choice Award,Won
106,steven spielberg,1974,Best Screenplay,Won
107,steven spielberg,1974,Palme d'Or,Nominated
108,steven spielberg,2013,COFCA Award,Nominated
109,steven spielberg,2012,CFCA Award,Nominated
110,steven spielberg,2006,CFCA Award,Nominated
111,steven spielberg,1999,CFCA Award,Nominated
112,steven spielberg,1994,CFCA Award,Won
113,steven spielberg,2006,Lifetime Achievement Award,Won
114,steven spielberg,2013,Christopher Award,Won
115,steven spielberg,2012,Christopher Award,Won
116,steven spielberg,2003,Christopher Award,Won
117,steven spielberg,2002,Christopher Award,Won
118,steven spielberg,1987,Christopher Award,Won
119,steven spielberg,1969,CINE Golden Eagle,Won
120,steven spielberg,2016,Cinema Bloggers Award,Nominated
121,steven spielberg,2016,Cinema for Peace Award,Nominated
122,steven spielberg,2013,Cinema for Peace Award,Won
123,steven spielberg,2012,Cinema for Peace Award,Nominated
124,steven spielberg,2016,CEC Award,Nominated
125,steven spielberg,2003,CEC Award,Nominated
126,steven spielberg,1995,CEC Award,Won
127,steven spielberg,2016,CinEuphoria,Nominated
128,steven spielberg,1999,Czech Lion,Won
129,steven spielberg,1994,Czech Lion,Won
130,steven spielberg,2003,C�sar,Nominated
131,steven spielberg,1999,C�sar,Nominated
132,steven spielberg,1995,Honorary C�sar,Won
133,steven spielberg,1995,C�sar,Nominated
134,steven spielberg,1983,C�sar,Nominated
135,steven spielberg,1982,C�sar,Nominated
136,steven spielberg,2012,DFWFCA Award,Nominated
137,steven spielberg,1999,DFWFCA Award,Won
138,steven spielberg,1994,DFWFCA Award,Won
139,steven spielberg,2016,David,Won
140,steven spielberg,2013,David,Nominated
141,steven spielberg,2004,Special David,Won
142,steven spielberg,1998,David,Nominated
143,steven spielberg,1994,David,Nominated
144,steven spielberg,1988,David,Nominated
145,steven spielberg,1986,David,Won
146,steven spielberg,1983,David,Won
147,steven spielberg,1978,David,Won
148,steven spielberg,2000,Daytime Emmy,Won
149,steven spielberg,1999,Daytime Emmy,Won
150,steven spielberg,1999,Daytime Emmy,Nominated
151,steven spielberg,1998,Daytime Emmy,Nominated
152,steven spielberg,1997,Daytime Emmy,Won
153,steven spielberg,1997,Daytime Emmy,Nominated
154,steven spielberg,1996,Daytime Emmy,Won
155,steven spielberg,1995,Daytime Emmy,Nominated
156,steven spielberg,1994,Daytime Emmy,Nominated
157,steven spielberg,1993,Daytime Emmy,Won
158,steven spielberg,1992,Daytime Emmy,Nominated
159,steven spielberg,1991,Daytime Emmy,Won
160,steven spielberg,2013,DGA Award,Nominated
161,steven spielberg,2006,DGA Award,Nominated
162,steven spielberg,2000,Lifetime Achievement Award,Won
163,steven spielberg,1999,DGA Award,Won
164,steven spielberg,1998,DGA Award,Nominated
165,steven spielberg,1994,DGA Award,Won
166,steven spielberg,1988,DGA Award,Nominated
167,steven spielberg,1986,DGA Award,Won
168,steven spielberg,1983,DGA Award,Nominated
169,steven spielberg,1982,DGA Award,Nominated
170,steven spielberg,1978,DGA Award,Nominated
171,steven spielberg,1976,DGA Award,Nominated
172,steven spielberg,2012,Empire Award,Nominated
173,steven spielberg,2006,Empire Award,Nominated
174,steven spielberg,2003,Empire Award,Won
175,steven spielberg,2002,Empire Award,Nominated
176,steven spielberg,1999,Empire Award,Won
177,steven spielberg,2002,Screen International Award,Nominated
178,steven spielberg,1998,Screen International Award,Nominated
179,steven spielberg,1984,International Fantasy Film Award,Nominated
180,steven spielberg,1983,Fotogramas de Plata,Won
181,steven spielberg,2012,GFCA Award,Nominated
182,steven spielberg,1984,Nocciola d'Oro,Won
183,steven spielberg,2013,Gold Derby Award,Nominated
184,steven spielberg,2012,Gold Derby Award,Nominated
185,steven spielberg,1999,Golden Camera,Won
186,steven spielberg,2017,Golden Eagle,Nominated
187,steven spielberg,2007,Golden Eagle,Nominated
188,steven spielberg,2005,Golden Schmoes,Nominated
189,steven spielberg,2002,Golden Schmoes,Nominated
190,steven spielberg,1995,Guldbagge,Nominated
191,steven spielberg,1983,Man of the Year,Won
192,steven spielberg,2016,Truly Moving Picture Award,Won
193,steven spielberg,2015,Truly Moving Picture Award,Won
194,steven spielberg,2012,Truly Moving Picture Award,Won
195,steven spielberg,2011,Truly Moving Picture Award,Won
196,steven spielberg,1998,Truly Moving Picture Award,Won
197,steven spielberg,1997,Truly Moving Picture Award,Won
198,steven spielberg,1993,Truly Moving Picture Award,Won
199,steven spielberg,1985,Truly Moving Picture Award,Won
200,steven spielberg,1982,Truly Moving Picture Award,Won
201,steven spielberg,1994,Hochi Film Award,Won
202,steven spielberg,2002,Hollywood Movie of the Year,Won
203,steven spielberg,2012,HFCS Award,Nominated
204,steven spielberg,2003,Hugo,Nominated
205,steven spielberg,1994,Hugo,Won
206,steven spielberg,1990,Hugo,Won
207,steven spielberg,1983,Hugo,Nominated
208,steven spielberg,1982,Hugo,Won
209,steven spielberg,1978,Hugo,Nominated
210,steven spielberg,1972,Hugo,Nominated
211,steven spielberg,2000,Vanguard Award,Won
212,steven spielberg,2006,Founders Award,Won
213,steven spielberg,2012,INOCA,Won
214,steven spielberg,2003,INOCA,Nominated
215,steven spielberg,2012,IOFCP Award,Nominated
216,steven spielberg,2013,IFC Award,Won
217,steven spielberg,2003,Silver Ribbon,Nominated
218,steven spielberg,1999,Silver Ribbon,Won
219,steven spielberg,1995,Silver Ribbon,Nominated
220,steven spielberg,2012,IOMA,Nominated
221,steven spielberg,2006,IOMA,Nominated
222,steven spielberg,2003,IOMA,Nominated
223,steven spielberg,1994,Jupiter Award,Won
224,steven spielberg,1993,Jupiter Award,Won
225,steven spielberg,1984,Jupiter Award,Won
226,steven spielberg,1982,Jupiter Award,Won
227,steven spielberg,1981,Jupiter Award,Won
228,steven spielberg,2005,KCFCC Award,Won
229,steven spielberg,1998,KCFCC Award,Won
230,steven spielberg,1993,KCFCC Award,Won
231,steven spielberg,1987,KCFCC Award,Won
232,steven spielberg,1985,KCFCC Award,Won
233,steven spielberg,1982,KCFCC Award,Won
234,steven spielberg,2016,Kinema Junpo Award,Nominated
235,steven spielberg,2016,Readers' Choice Award,Nominated
236,steven spielberg,2012,Kinema Junpo Award,Nominated
237,steven spielberg,1995,Readers' Choice Award,Won
238,steven spielberg,1983,Kinema Junpo Award,Won
239,steven spielberg,1983,Readers' Choice Award,Won
240,steven spielberg,1982,Readers' Choice Award,Won
241,steven spielberg,1983,Korean Association of Film Critics Award,Won
242,steven spielberg,1998,Sierra Award,Won
243,steven spielberg,1999,ALFS Award,Nominated
244,steven spielberg,1995,ALFS Award,Won
245,steven spielberg,1998,LAFCA Award,Won
246,steven spielberg,1982,LAFCA Award,Won
247,steven spielberg,2002,Readers' Choice Award,Won
248,steven spielberg,1995,Readers' Choice Award,Won
249,steven spielberg,1994,Readers' Choice Award,Won
250,steven spielberg,2010,Filmmaker's Award,Won
251,steven spielberg,2001,Billy Wilder Award,Won
252,steven spielberg,1987,NBR Award,Won
253,steven spielberg,1999,NSFC Award,Nominated
254,steven spielberg,1994,NSFC Award,Won
255,steven spielberg,1983,NSFC Award,Won
256,steven spielberg,1977,NSFC Award,Nominated
257,steven spielberg,2005,NYFCC Award,Nominated
258,steven spielberg,1998,NYFCC Award,Nominated
259,steven spielberg,1993,NYFCC Award,Nominated
260,steven spielberg,1982,NYFCC Award,Nominated
261,steven spielberg,1977,NYFCC Award,Nominated
262,steven spielberg,2012,Emmy,Nominated
263,steven spielberg,2013,NTFCA Award,Won
264,steven spielberg,2016,OFTA Film Award,Nominated
265,steven spielberg,2013,OFTA Film Award,Nominated
266,steven spielberg,2012,OFTA Film Award,Won
267,steven spielberg,2006,OFTA Film Award,Nominated
268,steven spielberg,2003,OFTA Film Award,Nominated
269,steven spielberg,1999,OFTA Film Award,Won
270,steven spielberg,1997,OFTA Film Hall of Fame,Won
271,steven spielberg,2006,OFCS Award,Nominated
272,steven spielberg,2003,OFCS Award,Nominated
273,steven spielberg,2002,OFCS Award,Nominated
274,steven spielberg,1999,OFCS Award,Won
275,steven spielberg,1994,People's Choice Award,Won
276,steven spielberg,2016,PGA Award,Nominated
277,steven spielberg,2013,PGA Award,Nominated
278,steven spielberg,2012,Lifetime Achievement Award in Motion Pictures,Won
279,steven spielberg,2012,PGA Award,Won
280,steven spielberg,2012,PGA Award,Nominated
281,steven spielberg,2011,PGA Award,Won
282,steven spielberg,2006,PGA Award,Nominated
283,steven spielberg,2002,PGA Award,Won
284,steven spielberg,2000,PGA Hall of Fame - Motion Pictures,Won
285,steven spielberg,1999,Milestone Award,Won
286,steven spielberg,1999,PGA Award,Won
287,steven spielberg,1998,Vision Award,Won
288,steven spielberg,1998,PGA Award,Nominated
289,steven spielberg,1994,PGA Award,Won
290,steven spielberg,2012,PFCS Award,Nominated
291,steven spielberg,1985,Showmanship Award,Won
292,steven spielberg,1998,Audience Award,Won
293,steven spielberg,1990,Wise Owl Award,Won
294,steven spielberg,2012,Robert,Nominated
295,steven spielberg,2005,Rondo Statuette,Nominated
296,steven spielberg,2002,Rondo Statuette,Nominated
297,steven spielberg,1998,Golden Aries,Nominated
298,steven spielberg,1983,Sant Jordi,Won
299,steven spielberg,2015,Satellite Award,Nominated
300,steven spielberg,2012,Satellite Award,Nominated
301,steven spielberg,2011,Satellite Award,Nominated
302,steven spielberg,1999,Golden Satellite Award,Nominated
303,steven spielberg,1998,Golden Satellite Award,Nominated
304,steven spielberg,2003,SFX Award,Nominated
305,steven spielberg,2002,Lifetime Achievement Award,Won
306,steven spielberg,1994,ShoWest Award,Won
307,steven spielberg,1982,ShoWest Award,Won
308,steven spielberg,1994,Governors' Award,Won
309,steven spielberg,1999,SEFCA Award,Won
310,steven spielberg,2011,SLFCA Award,Won
311,steven spielberg,2005,SLFCA Award,Nominated
312,steven spielberg,1973,Best First Film,Won
313,steven spielberg,1973,Golden Charybdis,Nominated
314,steven spielberg,2006,Kennedy Center Honors,Won
315,steven spielberg,2013,International Theater Award,Won
316,steven spielberg,2004,Akira Kurosawa Award,Won
317,steven spielberg,1998,TFCA Award,Won
318,steven spielberg,2013,VFCC Award,Nominated
319,steven spielberg,2001,Future Film Festival Digital Award,Won
320,steven spielberg,1993,Career Golden Lion,Won
321,steven spielberg,2008,Lifetime Achievement Award,Won
322,steven spielberg,2003,Star on the Walk of Fame,Won
323,steven spielberg,2012,WAFCA Award,Nominated
324,steven spielberg,2005,WAFCA Award,Won
325,steven spielberg,2011,Bronze Wrangler,Won
326,steven spielberg,2006,Bronze Wrangler,Won
327,steven spielberg,1972,Gold Remi Award,Won
328,steven spielberg,1978,WGA Award (Screen),Nominated
329,steven spielberg,1975,WGA Award (Screen),Nominated
330,steven spielberg,1994,Yoga Award,Won
331,steven spielberg,1994,Jackie Coogan Award,Won
